latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
21.517,-78.531,303,1,1,2021-02-18,0330,T,52,6.0NRT,292.2,4.5,N
17.848,-93.119,319.7,3.9,1.8,2021-02-18,0510,T,99,6.0NRT,294.5,125.7,N
17.893,-92.499,307.3,4.4,1.9,2021-02-18,0510,T,71,6.0NRT,294.2,57.9,N
17.837,-93.123,316.5,3.9,1.8,2021-02-18,0510,T,93,6.0NRT,294.3,105.9,N
17.896,-93.203,310.3,3.9,1.8,2021-02-18,0510,T,80,6.0NRT,294.6,69.7,N
18.512,-96.13,301.6,2.4,1.5,2021-02-18,0510,T,43,6.0NRT,291,18.2,N
18.51,-96.152,321.8,2.4,1.5,2021-02-18,0510,T,100,6.0NRT,291.6,71.8,N
18.508,-96.136,312.7,2.4,1.5,2021-02-18,0510,T,85,6.0NRT,291.4,43.6,N
18.506,-96.158,311.7,2.4,1.5,2021-02-18,0510,T,83,6.0NRT,291.4,40.9,N
17.853,-101.754,312,1,1,2021-02-18,0510,T,84,6.0NRT,290.2,12.5,N
17.851,-101.764,314,1,1,2021-02-18,0510,T,88,6.0NRT,291.8,13.8,N
18.197,-100.604,308.3,1.2,1.1,2021-02-18,0510,T,74,6.0NRT,294,9.6,N
18.845,-98.972,301.3,1.5,1.2,2021-02-18,0510,T,40,6.0NRT,283.1,12.3,N
18.946,-99.832,308.1,1.3,1.1,2021-02-18,0510,T,74,6.0NRT,280.8,17.6,N
19.041,-102.282,318.3,1,1,2021-02-18,0510,T,96,6.0NRT,290.4,17.2,N
20.316,-101.244,301,1.1,1.1,2021-02-18,0510,T,36,6.0NRT,282.7,8.3,N
20.644,-103.905,303.7,1,1,2021-02-18,0510,T,57,6.0NRT,283.7,8.8,N
20.643,-103.914,302.9,1,1,2021-02-18,0510,T,52,6.0NRT,282.5,8.3,N
19.239,-71.83,305.9,1.4,1.2,2021-02-18,0615,A,66,6.0NRT,289.7,11.9,N
18.931,-70.346,303.3,1.1,1.1,2021-02-18,0615,A,54,6.0NRT,290.2,6.8,N
19.569,-92.236,331.7,1,1,2021-02-18,0755,A,100,6.0NRT,297,29.4,N
19.435,-92.079,321.4,1,1,2021-02-18,0755,A,100,6.0NRT,296.5,17.3,N
19.433,-92.07,312.6,1,1,2021-02-18,0755,A,79,6.0NRT,296.3,9.3,N
19.401,-92.036,309.6,1,1,2021-02-18,0755,A,67,6.0NRT,296.4,6.9,N
19.393,-92.044,307.6,1,1,2021-02-18,0755,A,55,6.0NRT,296.2,5.9,N
18.513,-96.15,313.6,1.3,1.1,2021-02-18,0755,A,88,6.0NRT,290.9,18.6,N
18.511,-96.138,323.6,1.3,1.1,2021-02-18,0755,A,100,6.0NRT,291.8,31.5,N
17.903,-92.494,308.7,1,1,2021-02-18,0755,A,75,6.0NRT,295.5,7.3,N
